Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,WHH,WHD,WHA
21/10/2023,Mainz,Bayern Munich,A,9,6,1.29,9.5,6.5,1.25
22/10/2023,FC Koln,M'gladbach,H,2.4,3.6,2.88,2.38,3.75,2.75
22/10/2023,Heidenheim,Augsburg,A,2.45,3.5,2.8,2.38,3.6,2.75
27/10/2023,Bochum,Mainz,D,2.7,3.3,2.55,2.7,3.5,2.45
28/10/2023,Augsburg,Wolfsburg,H,2.9,3.5,2.38,2.7,3.6,2.4
28/10/2023,Bayern Munich,Darmstadt,H,1.06,12,26,1.05,15,26
28/10/2023,M'gladbach,Heidenheim,H,1.8,4,4,1.75,4.2,4
28/10/2023,Stuttgart,Hoffenheim,A,1.85,4,3.8,1.8,4.2,3.75
28/10/2023,Werder Bremen,Union Berlin,H,2.7,3.3,2.6,2.6,3.6,2.5
28/10/2023,RB Leipzig,FC Koln,H,1.44,4.75,7,1.4,5,7
29/10/2023,Ein Frankfurt,Dortmund,D,3.4,3.4,2.15,3.1,3.7,2.15
29/10/2023,Leverkusen,Freiburg,H,1.29,5.5,11,1.25,6,11
03/11/2023,Darmstadt,Bochum,A,2.3,3.75,2.88,2.3,3.6,2.75
04/11/2023,FC Koln,Augsburg,D,2.3,3.6,2.9,2.3,3.6,2.75
04/11/2023,Freiburg,M'gladbach,D,2.1,3.8,3.2,2.05,3.75,3.1
04/11/2023,Hoffenheim,Leverkusen,A,5,4.5,1.57,4.6,4.8,1.53
04/11/2023,Mainz,RB Leipzig,H,5.75,4.2,1.6,5,4.4,1.53
04/11/2023,Union Berlin,Ein Frankfurt,A,2.55,3.1,2.9,2.45,3.2,2.8
04/11/2023,Dortmund,Bayern Munich,A,4,4.33,1.75,3.7,4.2,1.75
05/11/2023,Wolfsburg,Werder Bremen,D,1.7,4.33,4.33,1.67,4.2,4.2
05/11/2023,Heidenheim,Stuttgart,H,4.5,4.33,1.65,4.5,4.2,1.62
10/11/2023,M'gladbach,Wolfsburg,H,2.3,3.8,2.7,2.3,3.7,2.7
11/11/2023,Augsburg,Hoffenheim,D,2.63,3.6,2.55,2.45,3.8,2.45
11/11/2023,Bayern Munich,Heidenheim,H,1.06,17,21,1.04,13,26
11/11/2023,Darmstadt,Mainz,D,3.1,3.5,2.25,2.8,3.6,2.25
11/11/2023,Stuttgart,Dortmund,H,2.55,3.75,2.55,2.5,3.7,2.45
11/11/2023,Bochum,FC Koln,D,2.45,3.4,2.88,2.38,3.6,2.7
12/11/2023,Leverkusen,Union Berlin,H,1.29,6,9,1.25,5.8,10
12/11/2023,Werder Bremen,Ein Frankfurt,D,3.1,3.4,2.3,2.88,3.6,2.25
12/11/2023,RB Leipzig,Freiburg,H,1.44,5,6.5,1.4,4.8,6.5
24/11/2023,FC Koln,Bayern Munich,A,9,7,1.25,10,6.5,1.22
25/11/2023,Dortmund,M'gladbach,H,1.45,5.5,5.25,1.44,5,5.8
25/11/2023,Freiburg,Darmstadt,D,1.55,4.33,5.75,1.55,4.2,5.5
25/11/2023,Union Berlin,Augsburg,D,1.95,3.6,3.8,1.91,3.7,3.6
25/11/2023,Werder Bremen,Leverkusen,A,6.5,5,1.45,5.8,4.8,1.44
25/11/2023,Wolfsburg,RB Leipzig,H,3.6,4,1.91,3.75,3.8,1.83
25/11/2023,Ein Frankfurt,Stuttgart,A,2.6,3.6,2.6,2.6,3.6,2.45
26/11/2023,Heidenheim,Bochum,D,2.2,3.6,3.1,2.2,3.6,2.9
