Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,WHH,WHD,WHA
01/10/2023,Almeria,Granada,D,1.95,3.6,3.75,1.95,3.7,3.7
01/10/2023,Alaves,Osasuna,A,2.75,3,2.8,2.7,3.1,2.75
01/10/2023,Ath Madrid,Cadiz,H,1.33,5,10,1.33,5,9.5
01/10/2023,Betis,Valencia,H,2.3,3.25,3.3,2.3,3.3,3.1
02/10/2023,Las Palmas,Celta,H,2.5,3.2,3,2.4,3.2,3
06/10/2023,Ath Bilbao,Almeria,H,1.36,5,8,1.33,5.5,8
07/10/2023,Cadiz,Girona,A,3.25,3.4,2.25,3.2,3.4,2.2
07/10/2023,Real Madrid,Osasuna,H,1.29,6,9.5,1.29,5.5,10
07/10/2023,Mallorca,Valencia,D,2.5,3,3.2,2.4,3.1,3.1
07/10/2023,Sevilla,Vallecano,D,1.85,3.6,4.2,1.85,3.5,4.2
08/10/2023,Villarreal,Las Palmas,A,1.6,4,5.75,1.57,4.2,5.5
08/10/2023,Ath Madrid,Sociedad,H,1.83,3.4,4.5,1.85,3.5,4.2
08/10/2023,Alaves,Betis,D,2.8,3.25,2.6,2.75,3.2,2.62
08/10/2023,Celta,Getafe,D,2.05,3.1,4.2,2,3.2,4
08/10/2023,Granada,Barcelona,D,6.5,5.25,1.4,7,5,1.4
20/10/2023,Osasuna,Granada,H,1.73,3.8,4.75,1.73,3.75,4.6
21/10/2023,Sociedad,Mallorca,H,1.55,3.8,7,1.53,3.8,7
21/10/2023,Getafe,Betis,D,2.5,3,3.1,2.38,3.2,3.1
21/10/2023,Sevilla,Real Madrid,D,4.2,3.6,1.85,4,3.9,1.8
21/10/2023,Celta,Ath Madrid,A,3.5,3.5,2.1,3.5,3.5,2.05
22/10/2023,Las Palmas,Vallecano,A,2.63,3.1,2.8,2.6,3.2,2.75
22/10/2023,Girona,Almeria,H,1.45,4.5,7,1.44,4.8,6.5
22/10/2023,Villarreal,Alaves,D,1.7,3.75,5,1.67,3.8,5
22/10/2023,Barcelona,Ath Bilbao,H,1.62,4,5.5,1.62,4,5
23/10/2023,Valencia,Cadiz,H,1.75,3.6,5,1.73,3.6,5
27/10/2023,Girona,Celta,H,1.7,4.2,4.5,1.65,4.2,4.6
28/10/2023,Almeria,Las Palmas,A,2.25,3.5,3.1,2.25,3.5,3
28/10/2023,Barcelona,Real Madrid,A,2.55,3.6,2.6,2.5,3.6,2.6
28/10/2023,Mallorca,Getafe,D,2.25,3,3.5,2.25,3,3.5
28/10/2023,Cadiz,Sevilla,D,3.3,3.25,2.25,3.25,3.4,2.2
29/10/2023,Betis,Osasuna,H,2.05,3.5,3.6,2,3.4,3.7
29/10/2023,Vallecano,Sociedad,D,3.1,3.2,2.38,3.1,3.2,2.38
29/10/2023,Ath Bilbao,Valencia,D,1.62,3.8,5.75,1.62,3.8,5.5
29/10/2023,Ath Madrid,Alaves,H,1.4,4.75,8.5,1.35,4.75,9
30/10/2023,Granada,Villarreal,A,3.1,3.5,2.25,2.88,3.6,2.3
03/11/2023,Las Palmas,Ath Madrid,H,5.75,3.6,1.65,5.8,3.75,1.57
04/11/2023,Osasuna,Girona,A,2.9,3.4,2.4,2.75,3.4,2.38
04/11/2023,Betis,Mallorca,H,1.91,3.3,4.5,1.83,3.4,4.2
04/11/2023,Celta,Sevilla,D,2.6,3.4,2.7,2.5,3.4,2.62
04/11/2023,Sociedad,Barcelona,A,3.1,3.5,2.25,3.1,3.5,2.15
05/11/2023,Alaves,Almeria,H,1.75,3.75,4.75,1.75,3.6,4.4
05/11/2023,Valencia,Granada,H,1.65,4,5,1.6,4,5
05/11/2023,Villarreal,Ath Bilbao,A,2.8,3.6,2.4,2.8,3.6,2.25
05/11/2023,Real Madrid,Vallecano,D,1.29,5.5,12,1.22,6,11
06/11/2023,Getafe,Cadiz,H,1.91,3.1,4.75,1.91,3.1,4.5
10/11/2023,Ath Bilbao,Celta,H,1.67,3.8,5,1.6,4,5
11/11/2023,Vallecano,Girona,A,2.88,3.5,2.4,2.7,3.5,2.38
11/11/2023,Almeria,Sociedad,A,4.75,3.8,1.73,4.5,3.9,1.67
11/11/2023,Granada,Getafe,D,2.5,3.1,3,2.45,3.1,2.88
